date,close,Trading_Volume
2024-11-01,34.8,21382
2024-11-04,34.8,86669
2024-11-05,34.85,6903
2024-11-06,34.5,28422
2024-11-07,34.6,13427
2024-11-08,35.05,37482
2024-11-11,34.85,35410
2024-11-12,34.55,39862
2024-11-13,34.55,17656
2024-11-14,34.6,23543
2024-11-15,34.65,20633
2024-11-18,34.65,16796
2024-11-19,34.55,39838
2024-11-20,34.55,11427
2024-11-21,34.85,17284
2024-11-22,38.3,549575
2024-11-25,42.1,861482
2024-11-26,43.2,3457578
2024-11-27,40.45,1281955
2024-11-28,44.45,4759581
2024-11-29,45.8,14268974
2024-12-02,48.5,11117275
2024-12-03,48.4,10002641
2024-12-04,53.2,5199229
2024-12-05,57.0,17740810
2024-12-06,56.9,15109735
2024-12-09,51.3,4766428
2024-12-10,46.35,6115385
2024-12-11,45.7,3372994
2024-12-12,44.85,1715568
2024-12-13,45.2,2975891
2024-12-16,40.7,2693844
2024-12-17,41.0,2173148
2024-12-18,43.3,4201406
2024-12-19,41.8,1498183
2024-12-20,41.3,1030681
2024-12-23,40.45,924045
2024-12-24,40.5,667794
2024-12-25,43.5,3366603
2024-12-26,43.6,4562055
2024-12-27,41.8,1451872
2024-12-30,40.85,595375
2024-12-31,40.8,330480
2025-01-02,39.7,643394
2025-01-03,37.8,1319960
2025-01-06,38.55,647313
2025-01-07,38.0,454132
2025-01-08,38.7,434727
2025-01-09,37.6,549725
2025-01-10,37.0,335253
2025-01-13,37.15,23801949
2025-01-14,36.8,433829
2025-01-15,35.05,641939
2025-01-16,35.85,260231
2025-01-17,35.7,281481
2025-01-20,36.45,288090
2025-01-21,36.95,1388398
2025-01-22,38.1,2736070
2025-02-03,35.95,442099
2025-02-04,35.5,436585
2025-02-05,38.1,845139
2025-02-06,37.45,494142
2025-02-07,37.8,322628
2025-02-10,36.7,232850
2025-02-11,35.75,562705
2025-02-12,35.85,220809
2025-02-13,37.15,643603
2025-02-14,36.95,495359
2025-02-17,37.0,281067
2025-02-18,39.35,1717749
2025-02-19,38.95,552737
2025-02-20,38.1,516243
2025-02-21,38.9,1621672
2025-02-24,39.35,579822
2025-02-25,38.55,310150
2025-02-26,37.95,291902
2025-02-27,36.95,276020
2025-03-03,36.5,275057
2025-03-04,37.05,296644
2025-03-05,36.85,197850
2025-03-06,36.4,200364
2025-03-07,36.4,59514
2025-03-10,36.15,156189
2025-03-11,35.5,341557
2025-03-12,36.7,264038
2025-03-13,36.2,541106
2025-03-14,36.45,794184
2025-03-17,36.6,135884
2025-03-18,40.25,2684788
2025-03-19,44.25,7088042
2025-03-20,45.95,19042957
2025-03-21,43.5,4577613
2025-03-24,41.25,2985902
2025-03-25,40.9,2162971
2025-03-26,40.75,1020728
2025-03-27,39.45,1019239
2025-03-28,38.25,819984
2025-03-31,35.55,727002
2025-04-01,36.4,350498
2025-04-02,37.9,908311
2025-04-07,34.15,68598
2025-04-08,30.75,957298
2025-04-09,28.0,1151881
2025-04-10,30.8,193664
2025-04-11,29.7,472808
2025-04-14,30.45,506392
2025-04-15,31.65,500343
2025-04-16,31.5,581293
2025-04-17,31.0,306711
2025-04-18,31.0,254258
2025-04-21,29.35,339069
2025-04-22,28.8,164528
2025-04-23,29.6,314246
2025-04-24,29.65,157890
2025-04-25,30.6,202945
2025-04-28,31.1,189818
2025-04-29,31.95,436823
2025-04-30,31.3,301067
2025-05-02,32.45,222885
2025-05-05,30.55,318282
2025-05-06,30.6,123251
2025-05-07,30.5,144856
2025-05-08,31.85,457037
2025-05-09,31.7,166385
2025-05-12,32.55,252548
2025-05-13,32.45,278292
2025-05-14,32.8,174308
2025-05-15,32.2,195092
2025-05-16,32.25,117274
2025-05-19,31.4,98312
2025-05-20,31.3,102786
2025-05-21,31.7,117868
2025-05-22,31.75,98975
2025-05-23,31.35,215980
