date,close,Trading_Volume
2024-11-01,81.6,6022
2024-11-04,81.0,5613
2024-11-05,81.5,5009
2024-11-06,81.8,7160
2024-11-07,80.1,14275
2024-11-08,80.2,24199
2024-11-11,81.0,19099
2024-11-12,81.6,29538
2024-11-13,81.8,65168
2024-11-14,81.8,11011
2024-11-15,81.4,19072
2024-11-18,81.0,16112
2024-11-19,81.5,12233
2024-11-20,80.8,22091
2024-11-21,80.5,20052
2024-11-22,80.5,13519
2024-11-25,80.5,2014
2024-11-26,80.1,2012
2024-11-27,80.0,2207
2024-11-28,80.0,9039
2024-11-29,79.0,9553
2024-12-02,78.4,7350
2024-12-03,76.8,22871
2024-12-04,77.1,20609
2024-12-05,77.1,3142
2024-12-06,77.1,7220
2024-12-09,76.2,12264
2024-12-10,76.0,9504
2024-12-11,77.0,137638
2024-12-12,77.4,93342
2024-12-13,77.1,22235
2024-12-16,76.3,18478
2024-12-17,76.3,4299
2024-12-18,76.9,1002
2024-12-19,74.8,9333
2024-12-20,74.4,20383
2024-12-23,74.4,5000
2024-12-24,74.4,10150
2024-12-25,67.9,198491
2024-12-26,70.9,40287
2024-12-27,70.8,9381
2024-12-30,67.6,49870
2024-12-31,67.9,18620
2025-01-02,68.2,5353
2025-01-03,67.5,8280
2025-01-06,68.5,10320
2025-01-07,68.7,13470
2025-01-08,68.4,17215
2025-01-09,68.4,11495
2025-01-10,68.9,11234
2025-01-13,67.9,7020
2025-01-14,69.3,1585
2025-01-15,70.0,40823
2025-01-16,68.8,19200
2025-01-17,69.0,8642
2025-01-20,68.9,10545
2025-01-21,69.8,22817
2025-01-22,74.1,49782
2025-02-03,74.5,13776
2025-02-04,74.4,11169
2025-02-05,74.0,6124
2025-02-06,72.8,5248
2025-02-07,73.4,3011
2025-02-10,74.4,3286
2025-02-11,75.0,9131
2025-02-12,75.9,9302
2025-02-13,75.9,16560
2025-02-14,76.7,21974
2025-02-17,76.1,3348
2025-02-18,78.7,1053
2025-02-19,77.4,5178
2025-02-20,77.4,17898
2025-02-21,77.0,13322
2025-02-24,0.0,568
2025-02-25,77.0,6125
2025-02-26,78.0,5309
2025-02-27,78.0,12074
2025-03-03,0.0,389
2025-03-04,78.3,3468
2025-03-05,77.0,13047
2025-03-06,76.6,19157
2025-03-07,76.0,6000
2025-03-10,75.8,21891
2025-03-11,75.8,11025
2025-03-12,75.9,8200
2025-03-13,0.0,130
2025-03-14,76.6,11869
2025-03-17,0.0,199
2025-03-18,75.7,2050
2025-03-19,74.0,3145
2025-03-20,74.0,4162
2025-03-21,74.0,6168
2025-03-24,76.3,13062
2025-03-25,76.4,10018
2025-03-26,80.1,82712
2025-03-27,80.1,36663
2025-03-28,78.6,24051
2025-03-31,75.3,17317
2025-04-01,77.9,13158
2025-04-02,77.6,1041
2025-04-07,70.0,77799
2025-04-08,76.9,38529
2025-04-09,75.0,32848
2025-04-10,75.5,29195
2025-04-11,75.1,17097
2025-04-14,77.9,34216
2025-04-15,81.7,50395
2025-04-16,81.7,17515
2025-04-17,81.4,27000
2025-04-18,79.1,37252
2025-04-21,80.5,41137
2025-04-22,81.3,6060
2025-04-23,82.2,57849
2025-04-24,83.7,68504
2025-04-25,87.2,75576
2025-04-28,90.1,183974
2025-04-29,98.6,318609
2025-04-30,99.4,230514
2025-05-02,99.5,82609
2025-05-05,97.2,69664
2025-05-06,95.9,66283
2025-05-07,96.0,50073
2025-05-08,98.0,36152
2025-05-09,98.0,95238
2025-05-12,97.7,62030
2025-05-13,91.5,146319
2025-05-14,94.3,39586
2025-05-15,93.0,19122
2025-05-16,95.0,26511
2025-05-19,100.0,118975
2025-05-20,99.6,42547
2025-05-21,99.5,45666
2025-05-22,99.0,23195
2025-05-23,99.5,19353
2025-05-26,99.2,34318
2025-05-27,99.6,58894
2025-05-28,100.0,105681
2025-05-29,99.5,61058
