date,close,Trading_Volume
2024-11-01,34.95,502947
2024-11-04,33.9,283463
2024-11-05,34.2,136342
2024-11-06,34.05,105558
2024-11-07,34.35,150709
2024-11-08,34.2,159832
2024-11-11,33.9,200289
2024-11-12,32.8,201998
2024-11-13,33.05,87708
2024-11-14,32.6,289955
2024-11-15,32.75,159142
2024-11-18,32.15,85967
2024-11-19,32.8,79372
2024-11-20,36.05,698792
2024-11-21,39.65,1174819
2024-11-22,41.35,16252594
2024-11-25,43.2,13728959
2024-11-26,42.0,11087310
2024-11-27,46.2,6797749
2024-11-28,41.6,15760374
2024-11-29,43.15,22370521
2024-12-02,43.9,13995617
2024-12-03,41.8,6265392
2024-12-04,43.3,16729199
2024-12-05,41.0,11540803
2024-12-06,40.0,3721811
2024-12-09,37.5,5039966
2024-12-10,37.2,1544672
2024-12-11,38.5,3241654
2024-12-12,38.35,1909078
2024-12-13,38.05,1413793
2024-12-16,36.45,1384609
2024-12-17,36.35,813744
2024-12-18,37.2,2615266
2024-12-19,37.0,2228652
2024-12-20,36.3,1093436
2024-12-23,36.9,666330
2024-12-24,36.35,765086
2024-12-25,37.1,1347746
2024-12-26,37.5,1631228
2024-12-27,36.75,1231691
2024-12-30,36.15,646924
2024-12-31,35.1,893320
2025-01-02,34.0,1008520
2025-01-03,33.3,1048170
2025-01-06,34.3,892524
2025-01-07,33.4,718221
2025-01-08,33.4,480869
2025-01-09,32.45,588749
2025-01-10,32.65,343192
2025-01-13,32.2,541631
2025-01-14,31.9,318814
2025-01-15,31.95,275123
2025-01-16,32.45,237558
2025-01-17,32.3,124214
2025-01-20,34.0,870206
2025-01-21,34.3,530988
2025-01-22,34.55,438992
2025-02-03,35.4,509700
2025-02-04,35.55,476947
2025-02-05,35.4,259750
2025-02-06,37.0,1073595
2025-02-07,38.0,1199206
2025-02-10,38.9,1218404
2025-02-11,39.55,1415174
2025-02-12,39.25,1072289
2025-02-13,39.75,761669
2025-02-14,40.3,1566967
2025-02-17,38.4,1372349
2025-02-18,38.25,568341
2025-02-19,38.25,459290
2025-02-20,38.1,419132
2025-02-21,38.6,409265
