date,close,Trading_Volume
2024-11-01,119.5,1035236
2024-11-04,115.0,1277130
2024-11-05,118.0,916866
2024-11-06,118.0,617399
2024-11-07,118.5,1773129
2024-11-08,119.5,1375757
2024-11-11,128.5,6208452
2024-11-12,128.0,2719699
2024-11-13,126.5,2777374
2024-11-14,124.0,1831503
2024-11-15,125.5,2677574
2024-11-18,125.0,979002
2024-11-19,127.0,1213482
2024-11-20,124.0,1137368
2024-11-21,122.0,675899
2024-11-22,127.0,2068631
2024-11-25,130.0,3127366
2024-11-26,129.0,958013
2024-11-27,125.0,1302334
2024-11-28,119.5,1799297
2024-11-29,120.0,1284624
2024-12-02,120.5,530176
2024-12-03,128.0,2227438
2024-12-04,127.0,1214218
2024-12-05,125.5,815820
2024-12-06,126.0,958866
2024-12-09,123.5,984342
2024-12-10,119.0,1501238
2024-12-11,119.0,1047682
2024-12-12,118.0,689034
2024-12-13,115.5,765066
2024-12-16,112.5,1621293
2024-12-17,114.0,551102
2024-12-18,118.0,982237
2024-12-19,114.5,1050983
2024-12-20,113.0,603214
2024-12-23,113.5,405272
2024-12-24,116.5,1077878
2024-12-25,116.0,1078178
2024-12-26,116.0,321050
2024-12-27,115.5,455720
2024-12-30,115.0,1239478
2024-12-31,114.0,520371
2025-01-02,113.5,467211
2025-01-03,114.5,367257
2025-01-06,115.5,515259
2025-01-07,116.0,394106
2025-01-08,113.5,745205
2025-01-09,105.5,2029099
2025-01-10,105.0,1086268
2025-01-13,107.5,1943385
2025-01-14,115.5,4601350
2025-01-15,113.0,1873541
2025-01-16,111.5,963808
2025-01-17,113.0,440634
2025-01-20,111.0,526436
2025-01-21,112.0,442078
2025-01-22,114.0,739365
2025-02-03,114.5,931200
2025-02-04,113.0,815139
2025-02-05,117.0,1301970
2025-02-06,117.5,1198376
2025-02-07,115.0,899046
2025-02-10,113.5,518458
2025-02-11,117.0,878621
2025-02-12,121.5,2165545
2025-02-13,118.0,1940927
2025-02-14,119.0,876497
2025-02-17,117.5,1298456
2025-02-18,116.0,935745
2025-02-19,116.0,586756
2025-02-20,120.5,2728831
2025-02-21,118.0,2298124
2025-02-24,115.5,1733986
2025-02-25,113.5,1164465
2025-02-26,113.5,896852
2025-02-27,114.0,1102408
2025-03-03,111.5,883277
2025-03-04,101.5,6537554
2025-03-05,105.5,2899653
2025-03-06,102.0,2240969
2025-03-07,101.0,1369614
2025-03-10,100.5,1260314
2025-03-11,96.6,1706597
2025-03-12,96.1,10015680
2025-03-13,95.0,3023621
2025-03-14,95.1,1454922
2025-03-17,97.5,1152998
2025-03-18,96.9,770761
2025-03-19,97.4,1637583
2025-03-20,98.4,728717
2025-03-21,97.5,607584
2025-03-24,97.2,860197
2025-03-25,96.0,672271
2025-03-26,96.5,591822
2025-03-27,96.6,562462
2025-03-28,91.1,2108451
2025-03-31,83.7,4004785
2025-04-01,85.6,1620759
2025-04-02,87.7,1180141
2025-04-07,79.0,329404
2025-04-08,71.1,993259
2025-04-09,64.0,3656891
2025-04-10,70.4,812897
2025-04-11,77.4,2977336
2025-04-14,81.2,3176947
2025-04-15,85.0,1637931
2025-04-16,84.7,1415211
2025-04-17,83.4,1325450
2025-04-18,82.3,691910
2025-04-21,79.1,1064547
2025-04-22,78.2,618109
2025-04-23,80.5,702336
2025-04-24,80.9,449281
2025-04-25,82.1,546626
2025-04-28,82.5,378632
2025-04-29,85.2,954570
2025-04-30,86.3,1735171
2025-05-02,88.6,5589629
2025-05-05,87.3,4334714
2025-05-06,87.1,1216570
2025-05-07,86.7,1085535
2025-05-08,88.4,937174
2025-05-09,87.8,755656
2025-05-12,89.9,1202119
2025-05-13,89.4,1123007
2025-05-14,90.4,1075046
2025-05-15,90.4,1015475
2025-05-16,90.0,2255131
2025-05-19,94.3,11361397
2025-05-20,95.0,7653007
2025-05-21,94.5,1725506
2025-05-22,94.2,3273245
2025-05-23,94.0,1274152
2025-05-26,91.1,2183523
2025-05-27,90.0,1073652
2025-05-28,89.0,1135588
2025-05-29,89.2,1202713
2025-06-02,87.5,807789
2025-06-03,89.0,974832
2025-06-04,91.6,2060580
2025-06-05,90.7,1691195
2025-06-06,89.7,939394
2025-06-09,91.5,1307059
2025-06-10,91.9,908069
2025-06-11,85.2,3848101
2025-06-12,85.4,1158611
2025-06-13,83.3,1683697
2025-06-16,85.6,1291739
2025-06-17,86.3,2069961
2025-06-18,85.9,1015027
2025-06-19,81.8,2293167
2025-06-20,81.9,2029119
2025-06-23,80.3,807316
2025-06-24,82.5,734894
2025-06-25,82.2,433589
2025-06-26,82.5,612047
2025-06-27,83.2,667808
2025-06-30,80.4,1054095
2025-07-01,80.4,465105
2025-07-02,80.5,338595
2025-07-03,82.5,801718
2025-07-04,80.1,815621
2025-07-07,79.1,504844
2025-07-08,77.9,1163925
2025-07-09,78.1,485838
2025-07-10,77.4,552839
2025-07-11,85.1,3339150
2025-07-14,90.0,14753571
2025-07-15,88.3,5288678
2025-07-16,87.3,1971106
2025-07-17,86.9,1241763
2025-07-18,86.2,1688776
2025-07-21,86.3,1292100
2025-07-22,82.5,1992060
2025-07-23,81.9,2700343
2025-07-24,82.6,1938624
2025-07-25,82.9,619342
2025-07-28,82.6,541036
2025-07-29,82.7,753181
2025-07-30,84.0,1108538
2025-07-31,82.3,1005316
2025-08-01,82.9,730158
2025-08-04,82.4,988517
2025-08-05,83.0,1178766
2025-08-06,83.0,1155376
2025-08-07,82.2,1432851
2025-08-08,81.0,1182093
2025-08-11,80.2,2078766
2025-08-12,79.6,1981707
2025-08-13,0.0,0
2025-08-14,71.7,931150
2025-08-15,67.7,16487167
2025-08-18,66.2,4599174
2025-08-19,62.7,4987499
2025-08-20,60.8,2781813
2025-08-21,61.2,1543124
2025-08-22,60.6,1894785
2025-08-25,60.7,1879844
2025-08-26,58.1,3324117
2025-08-27,57.3,2539719
2025-08-28,58.0,1396238
2025-08-29,55.6,3490512
2025-09-01,54.5,2339215
2025-09-02,55.5,1777361
2025-09-03,54.9,1342752
2025-09-04,56.2,1143964
2025-09-05,56.1,927441
2025-09-08,56.1,613931
2025-09-09,56.1,973739
2025-09-10,57.1,1362776
2025-09-11,55.9,1442257
2025-09-12,56.0,828138
2025-09-15,55.5,771849
2025-09-16,55.4,535886
2025-09-17,57.4,1279193
2025-09-18,60.1,3362567
2025-09-19,59.2,1557323
2025-09-22,57.8,1061791
2025-09-23,57.1,870576
2025-09-24,57.3,1105029
2025-09-25,57.2,807239
2025-09-26,55.2,1231406
2025-09-30,56.3,586130
2025-10-01,55.4,615236
2025-10-02,54.9,836611
2025-10-03,54.2,953845
2025-10-07,54.9,816490
2025-10-08,55.1,441719
2025-10-09,55.1,590092
2025-10-13,60.6,6372812
2025-10-14,61.1,9121280
2025-10-15,59.3,2497645
2025-10-16,61.0,1869990
2025-10-17,60.9,2896061
2025-10-20,61.3,1950976
2025-10-21,61.4,1194175
2025-10-22,60.8,842483
2025-10-23,60.5,1246336
2025-10-27,59.9,925250
2025-10-28,58.6,1239942
2025-10-29,60.0,1338398
2025-10-30,60.1,1320675
2025-10-31,60.8,2715112
2025-11-03,59.5,1509908
2025-11-04,58.8,1144284
2025-11-05,57.4,1160646
2025-11-06,57.4,802859
2025-11-07,56.3,1247992
2025-11-10,53.9,2124825
2025-11-11,50.7,3088796
2025-11-12,49.0,3474607
2025-11-13,0.0,0
2025-11-14,44.1,1080792
2025-11-17,39.7,1918658
2025-11-18,41.4,11938065
2025-11-19,39.35,3762915
2025-11-20,38.4,3220761
2025-11-21,39.8,3909656
2025-11-24,38.05,2129764
2025-11-25,38.45,1860309
2025-11-26,40.35,2106060
2025-11-27,40.4,1193144
2025-11-28,39.3,1488337
2025-12-01,38.7,1116892
2025-12-02,39.1,1019000
2025-12-03,39.1,1008964
2025-12-04,41.1,2004052
2025-12-05,40.2,1402498
2025-12-08,38.8,1723405
2025-12-09,39.55,815443
2025-12-10,38.85,797983
2025-12-11,37.6,1826022
2025-12-12,38.25,1015123
2025-12-15,40.0,2031832
2025-12-16,39.1,1375356
2025-12-17,38.3,929238
2025-12-18,37.8,712596
2025-12-19,38.3,958808
2025-12-22,39.15,820181
2025-12-23,40.2,2207526
2025-12-24,39.95,894399
2025-12-26,39.6,1738961
2025-12-29,38.75,891110
2025-12-30,38.3,606366
2025-12-31,37.85,799019
2026-01-02,38.5,1342165
2026-01-05,38.15,1377797
2026-01-06,37.85,979075
2026-01-07,37.9,1076084
2026-01-08,37.65,927210
2026-01-09,38.85,1753316
2026-01-12,40.05,1988912
2026-01-13,44.05,7185345
2026-01-14,43.5,7284195
2026-01-15,42.75,1757500
2026-01-16,47.0,3974248
2026-01-19,51.7,1690182
2026-01-20,51.3,10824855
2026-01-21,49.7,4208814
2026-01-22,51.9,4124874
2026-01-23,56.0,9750693
2026-01-26,53.9,4746583
2026-01-27,51.6,2827548
2026-01-28,51.7,1952627
2026-01-29,49.6,2029534
2026-01-30,47.55,1959138
2026-02-02,46.5,1133104
2026-02-03,47.05,1138941
2026-02-04,47.9,740946
2026-02-05,47.55,839824
2026-02-06,46.3,815417
2026-02-09,45.0,1029281
2026-02-10,45.2,534627
2026-02-11,43.8,1132157
2026-02-23,43.7,2071219
2026-02-24,43.85,1265914
2026-02-25,46.5,3837745
2026-02-26,44.45,5920214
2026-03-02,42.8,2206212
2026-03-03,42.75,1898358
2026-03-04,43.6,3907983
2026-03-05,41.25,3146914
2026-03-06,42.2,1414752
2026-03-09,40.8,2702658
2026-03-10,40.25,1369139
2026-03-11,41.95,1547174
2026-03-12,40.6,919809
2026-03-13,39.95,1242738
2026-03-16,41.9,3036097
2026-03-17,42.2,1425401
2026-03-18,41.4,944858
2026-03-19,41.05,575877
2026-03-20,40.65,838861
2026-03-23,39.4,1134499
