date,close,Trading_Volume
2024-11-01,17.9,458637
2024-11-04,17.95,117950
2024-11-05,18.1,86504
2024-11-06,18.0,137312
2024-11-07,18.15,385818
2024-11-08,18.25,287317
2024-11-11,18.1,68139
2024-11-12,18.0,201654
2024-11-13,17.95,142474
2024-11-14,17.7,630629
2024-11-15,17.9,144487
2024-11-18,17.65,138021
2024-11-19,17.65,153120
2024-11-20,17.7,120652
2024-11-21,17.6,47954
2024-11-22,17.8,168729
2024-11-25,17.8,201970
2024-11-26,18.0,170922
2024-11-27,17.9,186222
2024-11-28,17.8,126318
2024-11-29,17.85,59738
2024-12-02,18.0,218360
2024-12-03,17.95,151612
2024-12-04,17.9,80346
2024-12-05,17.95,95428
2024-12-06,17.95,70533
2024-12-09,17.8,99093
2024-12-10,17.7,312385
2024-12-11,17.65,70959
2024-12-12,17.65,744854
2024-12-13,17.5,364031
2024-12-16,17.3,652464
2024-12-17,17.2,186290
2024-12-18,17.15,201517
2024-12-19,17.4,493333
2024-12-20,17.5,301427
2024-12-23,17.45,208047
2024-12-24,17.45,112965
2024-12-25,17.7,393824
2024-12-26,17.6,88268
2024-12-27,17.55,79954
2024-12-30,17.55,61807
2024-12-31,17.55,248717
2025-01-02,17.1,277006
2025-01-03,17.0,123294
2025-01-06,16.95,170835
2025-01-07,16.9,165277
2025-01-08,16.9,65276
2025-01-09,17.0,138321
2025-01-10,17.05,105182
2025-01-13,16.7,307188
2025-01-14,16.7,61055
2025-01-15,16.65,90351
2025-01-16,16.65,105878
2025-01-17,16.65,132675
2025-01-20,16.8,140957
2025-01-21,16.9,54568
2025-01-22,17.0,78903
2025-02-03,16.8,187712
2025-02-04,16.75,108194
2025-02-05,16.8,45269
2025-02-06,17.0,131504
2025-02-07,17.3,143272
2025-02-10,17.3,125534
2025-02-11,17.2,74507
2025-02-12,17.15,109825
2025-02-13,17.35,83515
2025-02-14,17.65,205760
2025-02-17,17.8,161683
2025-02-18,17.8,116337
2025-02-19,17.75,83173
2025-02-20,17.75,61647
2025-02-21,17.75,83175
2025-02-24,17.65,101747
2025-02-25,17.55,155913
2025-02-26,17.55,54333
2025-02-27,17.5,105609
2025-03-03,17.45,76213
2025-03-04,17.45,140163
2025-03-05,17.45,111008
2025-03-06,17.6,55491
2025-03-07,17.45,117361
2025-03-10,17.4,149429
2025-03-11,17.1,262612
2025-03-12,17.05,108492
2025-03-13,17.05,169831
2025-03-14,17.3,114581
2025-03-17,17.25,93772
2025-03-18,17.2,75937
2025-03-19,17.2,120671
2025-03-20,17.15,107305
2025-03-21,17.15,85361
2025-03-24,17.05,102955
2025-03-25,17.1,137913
2025-03-26,17.0,108397
2025-03-27,17.05,128676
2025-03-28,16.65,279893
2025-03-31,16.15,393731
2025-04-01,16.25,107050
2025-04-02,16.4,88233
2025-04-07,14.8,103022
2025-04-08,13.8,1018319
2025-04-09,13.0,481959
2025-04-10,14.3,337553
2025-04-11,14.3,281890
2025-04-14,14.45,299933
2025-04-15,15.3,204526
2025-04-16,15.05,55275
2025-04-17,15.0,89328
2025-04-18,15.25,91546
2025-04-21,15.2,45735
2025-04-22,15.0,104188
2025-04-23,15.15,69610
2025-04-24,15.15,73114
2025-04-25,15.3,86092
2025-04-28,15.35,58956
2025-04-29,15.55,59451
2025-04-30,15.35,58561
2025-05-02,15.95,198489
2025-05-05,15.95,284029
2025-05-06,16.2,1006686
2025-05-07,16.1,83361
2025-05-08,16.05,117357
2025-05-09,16.0,91150
2025-05-12,15.9,199980
2025-05-13,16.0,243563
2025-05-14,15.95,105476
2025-05-15,15.9,57205
2025-05-16,15.9,185583
2025-05-19,15.8,59286
2025-05-20,15.85,130223
2025-05-21,15.9,26445
2025-05-22,15.8,26217
2025-05-23,16.0,100897
2025-05-26,16.0,65898
2025-05-27,15.9,74411
2025-05-28,15.9,45157
2025-05-29,15.95,70761
2025-06-02,15.9,151804
2025-06-03,15.8,80799
2025-06-04,15.9,58109
2025-06-05,15.9,29590
2025-06-06,16.0,67074
2025-06-09,15.7,134376
2025-06-10,15.65,132951
2025-06-11,15.55,91464
2025-06-12,15.6,63917
2025-06-13,15.45,85983
2025-06-16,15.55,55864
2025-06-17,15.5,70078
2025-06-18,15.45,87004
2025-06-19,15.35,83546
2025-06-20,15.2,126726
2025-06-23,15.0,150573
2025-06-24,15.35,61205
2025-06-25,15.6,115859
2025-06-26,15.85,132389
2025-06-27,15.85,200770
2025-06-30,15.85,100527
2025-07-01,16.0,151629
2025-07-02,15.95,43172
2025-07-03,15.9,251740
2025-07-04,15.65,105633
2025-07-07,15.5,111188
2025-07-08,15.45,53168
2025-07-09,15.45,46829
2025-07-10,15.4,105377
2025-07-11,15.6,111667
2025-07-14,15.45,178780
2025-07-15,14.85,132513
2025-07-16,14.85,61603
2025-07-17,14.9,80113
2025-07-18,14.95,220296
2025-07-21,14.95,41466
2025-07-22,14.8,80342
2025-07-23,15.0,48161
2025-07-24,15.0,85314
2025-07-25,15.35,188487
2025-07-28,15.25,54187
2025-07-29,15.25,61822
2025-07-30,15.2,35952
2025-07-31,15.2,45935
2025-08-01,15.25,27762
2025-08-04,15.0,87595
2025-08-05,15.0,22576
2025-08-06,15.15,39579
2025-08-07,15.2,46653
2025-08-08,15.2,90884
2025-08-11,15.2,143701
2025-08-12,15.0,115072
2025-08-13,15.1,27037
2025-08-14,14.95,139712
2025-08-15,14.9,168104
2025-08-18,14.8,112786
2025-08-19,15.0,147710
2025-08-20,14.8,84263
2025-08-21,14.9,62991
2025-08-22,14.9,23043
2025-08-25,14.9,169798
2025-08-26,14.85,26576
2025-08-27,14.9,98767
2025-08-28,14.95,88983
2025-08-29,15.0,77571
2025-09-01,14.8,155553
2025-09-02,14.75,66100
2025-09-03,14.8,56079
2025-09-04,14.75,58034
2025-09-05,14.75,110077
2025-09-08,14.85,69521
2025-09-09,14.85,52632
2025-09-10,14.8,97114
2025-09-11,14.75,49616
2025-09-12,14.6,80265
2025-09-15,14.55,97526
2025-09-16,14.5,51731
2025-09-17,14.5,77430
2025-09-18,14.6,57298
2025-09-19,14.6,134336
2025-09-22,14.45,138881
2025-09-23,14.5,158199
2025-09-24,14.45,23050
2025-09-25,14.5,45128
2025-09-26,14.5,22824
2025-09-30,14.4,53899
2025-10-01,14.4,64968
2025-10-02,14.35,84892
2025-10-03,14.3,60325
2025-10-07,14.05,206408
2025-10-08,14.1,61745
2025-10-09,13.95,214702
2025-10-13,13.9,73121
2025-10-14,14.0,54557
2025-10-15,13.8,157773
2025-10-16,13.85,126114
2025-10-17,13.85,132575
2025-10-20,13.85,126663
2025-10-21,13.8,85351
2025-10-22,13.8,148430
2025-10-23,13.65,161020
2025-10-27,13.65,77054
2025-10-28,13.65,44631
2025-10-29,13.7,135235
2025-10-30,13.55,96764
2025-10-31,13.65,34911
2025-11-03,13.55,52481
2025-11-04,13.4,185135
2025-11-05,13.35,95539
2025-11-06,13.65,108744
2025-11-07,13.75,83536
2025-11-10,13.55,62421
2025-11-11,13.6,74243
2025-11-12,13.65,69164
2025-11-13,13.65,65319
2025-11-14,13.5,100982
2025-11-17,13.4,52826
2025-11-18,13.15,113374
2025-11-19,12.95,107635
2025-11-20,13.05,75264
2025-11-21,13.05,73095
2025-11-24,13.15,69348
2025-11-25,13.3,58446
2025-11-26,13.45,91754
2025-11-27,13.3,126073
2025-11-28,13.5,39539
2025-12-01,13.25,200624
2025-12-02,13.2,235615
2025-12-03,13.25,40937
2025-12-04,13.2,92212
2025-12-05,13.1,61715
2025-12-08,13.05,121177
2025-12-09,13.05,72355
2025-12-10,13.0,75592
2025-12-11,13.0,64671
2025-12-12,13.0,63502
2025-12-15,12.95,143245
2025-12-16,12.95,144286
2025-12-17,12.85,168097
2025-12-18,12.85,143314
2025-12-19,12.85,136177
2025-12-22,13.05,255565
2025-12-23,12.9,206273
2025-12-24,12.9,78939
2025-12-26,12.85,82416
2025-12-29,12.85,50245
2025-12-30,12.9,68609
2025-12-31,12.85,103575
2026-01-02,12.75,115907
2026-01-05,12.55,186779
2026-01-06,12.45,316865
2026-01-07,12.55,423296
2026-01-08,12.5,153888
2026-01-09,12.4,134667
2026-01-12,12.6,225981
2026-01-13,12.4,162293
2026-01-14,12.6,397191
2026-01-15,12.65,187974
2026-01-16,12.6,240584
2026-01-19,12.55,272505
2026-01-20,12.55,131232
2026-01-21,12.45,298486
2026-01-22,12.4,139861
2026-01-23,12.45,163670
2026-01-26,12.5,114270
2026-01-27,12.55,90980
2026-01-28,12.6,87047
2026-01-29,12.55,64767
2026-01-30,12.55,166973
2026-02-02,12.35,97547
2026-02-03,12.35,81921
2026-02-04,12.6,234125
2026-02-05,12.55,86853
2026-02-06,12.25,461533
2026-02-09,12.35,68974
2026-02-10,12.4,60564
2026-02-11,12.5,150640
2026-02-23,12.5,164610
2026-02-24,12.55,208343
2026-02-25,12.6,192302
2026-02-26,12.7,167205
2026-03-02,12.6,264028
2026-03-03,12.6,155386
2026-03-04,12.4,255944
2026-03-05,12.5,55205
2026-03-06,12.75,140434
2026-03-09,12.4,276808
2026-03-10,12.4,91145
2026-03-11,12.95,333475
2026-03-12,12.8,87203
2026-03-13,12.65,90467
2026-03-16,12.6,153445
2026-03-17,12.7,64542
2026-03-18,13.15,584532
2026-03-19,13.1,219544
2026-03-20,13.2,122477
2026-03-23,13.2,253964
