date,close,Trading_Volume
2024-11-01,90.8,16000
2024-11-04,89.9,11104
2024-11-05,90.1,17000
2024-11-06,90.0,16454
2024-11-07,90.2,7000
2024-11-08,90.5,6000
2024-11-11,91.0,11162
2024-11-12,90.0,16486
2024-11-13,89.8,18047
2024-11-14,89.5,47006
2024-11-15,89.3,20480
2024-11-18,89.5,25006
2024-11-19,90.0,58255
2024-11-20,92.8,24018
2024-11-21,92.2,10310
2024-11-22,93.6,9080
2024-11-25,94.3,17100
2024-11-26,94.9,16450
2024-11-27,94.4,18011
2024-11-28,94.4,12063
2024-11-29,94.0,5334
2024-12-02,95.0,7010
2024-12-03,94.7,13010
2024-12-04,95.0,5000
2024-12-05,97.5,33202
2024-12-06,97.3,8431
2024-12-09,98.0,10000
2024-12-10,99.7,36314
2024-12-11,97.9,14073
2024-12-12,98.0,7470
2024-12-13,98.0,29009
2024-12-16,98.0,20000
2024-12-17,97.9,27000
2024-12-18,97.1,19000
2024-12-19,96.1,7030
2024-12-20,95.5,25000
2024-12-23,99.9,54124
2024-12-24,99.6,31128
2024-12-25,101.0,34457
2024-12-26,101.0,14096
2024-12-27,99.9,10010
2024-12-30,101.5,27284
2024-12-31,111.0,81762
2025-01-02,104.5,24888
2025-01-03,105.5,14101
2025-01-06,104.0,40688
2025-01-07,103.5,19060
2025-01-08,103.0,23031
2025-01-09,103.0,14183
2025-01-10,102.0,17100
2025-01-13,99.7,18036
2025-01-14,99.8,8010
2025-01-15,98.7,23125
2025-01-16,99.0,8015
2025-01-17,98.0,7016
2025-01-20,98.1,6213
2025-01-21,98.0,4081
2025-01-22,98.0,4000
2025-02-03,98.0,2056
2025-02-04,98.6,17753
2025-02-05,99.1,5434
2025-02-06,105.5,86656
2025-02-07,103.5,54688
2025-02-10,101.5,18200
2025-02-11,100.5,40350
2025-02-12,100.5,5242
2025-02-13,103.5,54275
2025-02-14,105.0,14445
2025-02-17,103.0,5473
2025-02-18,101.5,15144
2025-02-19,102.0,4017
2025-02-20,101.0,37182
2025-02-21,101.0,18098
2025-02-24,102.5,7080
2025-02-25,102.0,11513
2025-02-26,103.0,34302
2025-02-27,103.0,12447
2025-03-03,101.0,12106
2025-03-04,100.5,11057
2025-03-05,101.5,16328
2025-03-06,99.4,41404
2025-03-07,99.0,13005
2025-03-10,100.0,10009
2025-03-11,99.2,17035
2025-03-12,99.8,2339
2025-03-13,97.3,39840
2025-03-14,99.4,7606
2025-03-17,99.3,5231
2025-03-18,99.3,3131
2025-03-19,97.2,11239
2025-03-20,97.0,10572
2025-03-21,96.6,5230
2025-03-24,96.6,4010
2025-03-25,95.8,6000
2025-03-26,99.5,23334
2025-03-27,99.3,5017
2025-03-28,101.0,28030
2025-03-31,98.1,44095
2025-04-01,97.5,7010
2025-04-02,97.9,6030
2025-04-07,88.2,11393
2025-04-08,85.7,120515
2025-04-09,77.6,27156
2025-04-10,84.2,32064
2025-04-11,87.9,32605
2025-04-14,84.5,19551
2025-04-15,85.1,13000
2025-04-16,83.1,19084
2025-04-17,80.3,48673
2025-04-18,80.6,4179
2025-04-21,79.5,7028
2025-04-22,79.0,5441
2025-04-23,81.5,6023
2025-04-24,81.0,2073
2025-04-25,81.0,33092
2025-04-28,81.8,4118
2025-04-29,81.9,4225
2025-04-30,85.8,101912
2025-05-02,84.5,7678
2025-05-05,82.8,3031
2025-05-06,83.5,3561
2025-05-07,84.5,4456
2025-05-08,85.1,9039
2025-05-09,86.7,15344
2025-05-12,87.9,35985
2025-05-13,87.6,6031
2025-05-14,86.7,14153
2025-05-15,85.5,3704
2025-05-16,87.6,13200
2025-05-19,87.5,4048
2025-05-20,86.6,25039
2025-05-21,86.6,15436
2025-05-22,87.0,2001
2025-05-23,87.9,3053
2025-05-26,88.0,2500
2025-05-27,86.7,6005
2025-05-28,87.8,3000
2025-05-29,88.0,8242
2025-06-02,86.4,3001
2025-06-03,86.2,5000
2025-06-04,86.1,7003
2025-06-05,87.5,4000
2025-06-06,87.5,4021
2025-06-09,86.6,3268
2025-06-10,87.3,6115
2025-06-11,87.4,11000
2025-06-12,88.5,8000
2025-06-13,87.3,6325
2025-06-16,88.0,5000
2025-06-17,88.2,3001
2025-06-18,88.2,3010
2025-06-19,86.6,5029
2025-06-20,86.3,16204
2025-06-23,86.0,9018
2025-06-24,88.0,7005
2025-06-25,86.6,2001
2025-06-26,89.5,11101
2025-06-27,92.0,33246
2025-06-30,95.8,61704
2025-07-01,95.3,19100
2025-07-02,94.1,3015
2025-07-03,95.4,30024
2025-07-04,95.5,24011
2025-07-07,97.4,7020
2025-07-08,94.5,7001
2025-07-09,92.6,3001
2025-07-10,92.5,8000
2025-07-11,95.5,14734
2025-07-14,93.8,7024
2025-07-15,94.3,19000
2025-07-16,97.4,5090
2025-07-17,94.9,8010
2025-07-18,93.6,9040
2025-07-21,93.5,15200
2025-07-22,94.9,1036
2025-07-23,95.0,3011
2025-07-24,93.2,2001
2025-07-25,91.6,17511
2025-07-28,91.6,15093
2025-07-29,92.0,3103
2025-07-30,92.0,5070
2025-07-31,91.3,3098
2025-08-01,90.0,11000
2025-08-04,90.2,2000
2025-08-05,90.0,6028
2025-08-06,90.0,14034
2025-08-07,90.0,7333
2025-08-08,89.4,8069
2025-08-11,88.0,11139
2025-08-12,88.5,1000
2025-08-13,88.5,4484
2025-08-14,88.4,12250
2025-08-15,90.8,4030
2025-08-18,89.1,7223
2025-08-19,89.2,2002
2025-08-20,88.0,3050
2025-08-21,89.9,8060
2025-08-22,91.0,4000
2025-08-25,90.0,6001
2025-08-26,90.0,8100
2025-08-27,90.0,20090
2025-08-28,91.5,34400
2025-08-29,93.6,35006
2025-09-01,95.0,44015
2025-09-02,95.4,15240
2025-09-03,95.6,15010
2025-09-04,94.3,14135
2025-09-05,95.8,8000
2025-09-08,95.0,13202
2025-09-09,95.5,20000
2025-09-10,95.2,21019
2025-09-11,94.8,26225
2025-09-12,95.0,18753
2025-09-15,96.0,34354
2025-09-16,96.2,8350
2025-09-17,95.3,8101
2025-09-18,95.9,19805
2025-09-19,96.9,20215
2025-09-22,96.8,25147
2025-09-23,97.8,7275
2025-09-24,95.2,3344
2025-09-25,95.3,8020
2025-09-26,95.0,2050
2025-09-30,97.8,16079
2025-10-01,96.0,4931
2025-10-02,95.8,18001
2025-10-03,96.0,5167
2025-10-07,95.1,10123
2025-10-08,94.5,15332
2025-10-09,91.2,58010
2025-10-13,91.1,18065
2025-10-14,91.1,14016
2025-10-15,90.8,13002
2025-10-16,91.0,6000
2025-10-17,89.6,20425
2025-10-20,90.9,16085
2025-10-21,91.0,23056
2025-10-22,91.5,17125
2025-10-23,91.0,30726
2025-10-27,90.5,21448
2025-10-28,89.7,12250
2025-10-29,89.2,37110
2025-10-30,90.0,8470
2025-10-31,89.2,32058
2025-11-03,89.6,14056
2025-11-04,90.0,4000
2025-11-05,90.0,9001
2025-11-06,92.5,3278
2025-11-07,91.0,12010
2025-11-10,91.0,7002
2025-11-11,91.0,21071
2025-11-12,90.2,11866
2025-11-13,90.5,10104
2025-11-14,90.8,3000
2025-11-17,97.1,143874
2025-11-18,97.4,51624
2025-11-19,104.0,269714
2025-11-20,107.5,230946
2025-11-21,106.0,96245
2025-11-24,108.0,72698
2025-11-25,108.0,40672
2025-11-26,106.5,56725
2025-11-27,104.5,28812
2025-11-28,105.0,20485
2025-12-01,104.0,20810
2025-12-02,103.0,33598
2025-12-03,103.5,18286
2025-12-04,103.5,7100
2025-12-05,103.5,5359
2025-12-08,103.5,7485
2025-12-09,99.7,40831
2025-12-10,105.5,53334
2025-12-11,103.5,21982
2025-12-12,103.5,8085
2025-12-15,102.0,41662
2025-12-16,103.5,33150
2025-12-17,103.5,8225
2025-12-18,101.5,31350
2025-12-19,101.0,22756
2025-12-22,102.0,15010
2025-12-23,101.5,31923
2025-12-24,102.0,9120
2025-12-26,102.0,6042
2025-12-29,102.0,7208
2025-12-30,103.0,6000
2025-12-31,106.5,27264
2026-01-02,103.0,22427
2026-01-05,100.5,35070
2026-01-06,100.5,18001
2026-01-07,101.0,4016
2026-01-08,101.0,5365
2026-01-09,103.0,22205
2026-01-12,104.5,7000
2026-01-13,104.5,51014
2026-01-14,105.0,26073
2026-01-15,104.5,7200
2026-01-16,103.0,16635
2026-01-19,102.0,23156
2026-01-20,102.0,9020
2026-01-21,101.0,35578
2026-01-22,101.0,52843
2026-01-23,101.0,36109
2026-01-26,101.0,16004
2026-01-27,102.0,9019
2026-01-28,102.5,16012
2026-01-29,103.0,14081
2026-01-30,100.5,17390
2026-02-02,101.5,28000
2026-02-03,102.5,36108
2026-02-04,103.0,9237
2026-02-05,103.5,24045
2026-02-06,102.5,6390
2026-02-09,102.5,5565
2026-02-10,102.5,16053
2026-02-11,102.0,17214
2026-02-23,103.0,16090
2026-02-24,102.5,18059
2026-02-25,102.5,35292
2026-02-26,103.0,25278
2026-03-02,101.0,20150
2026-03-03,103.0,35272
2026-03-04,98.8,73842
2026-03-05,98.2,24230
2026-03-06,99.0,28132
2026-03-09,90.7,102397
2026-03-10,82.6,294311
2026-03-11,85.0,57318
2026-03-12,85.0,59232
2026-03-13,86.0,37415
2026-03-16,85.9,49515
2026-03-17,86.0,23240
2026-03-18,86.3,12020
2026-03-19,84.2,31541
2026-03-20,85.0,3002
2026-03-23,82.0,112665
2026-03-24,83.2,15134
