date,close,Trading_Volume
2024-11-01,29.95,188511
2024-11-04,29.35,252916
2024-11-05,29.7,198425
2024-11-06,29.8,122413
2024-11-07,30.4,258150
2024-11-08,29.8,302864
2024-11-11,27.8,1247542
2024-11-12,26.8,922712
2024-11-13,27.05,423613
2024-11-14,26.5,374229
2024-11-15,26.8,315950
2024-11-18,26.75,542285
2024-11-19,27.1,253911
2024-11-20,27.2,207713
2024-11-21,27.1,163219
2024-11-22,28.35,773865
2024-11-25,28.35,226167
2024-11-26,28.25,169430
2024-11-27,27.5,256410
2024-11-28,27.15,221942
2024-11-29,27.25,193010
2024-12-02,27.15,118631
2024-12-03,27.45,86677
2024-12-04,27.85,143523
2024-12-05,27.55,230474
2024-12-06,28.15,440939
2024-12-09,27.85,164072
2024-12-10,27.75,144257
2024-12-11,27.2,223030
2024-12-12,27.1,138101
2024-12-13,26.05,562832
2024-12-16,25.85,338093
2024-12-17,25.9,770298
2024-12-18,26.35,188225
2024-12-19,26.35,195657
2024-12-20,26.25,194924
2024-12-23,26.4,95523
2024-12-24,26.35,198476
2024-12-25,26.25,198615
2024-12-26,26.35,254610
2024-12-27,26.15,140218
2024-12-30,26.0,174861
2024-12-31,26.1,104993
2025-01-02,26.0,166358
2025-01-03,25.55,211893
2025-01-06,25.8,364295
2025-01-07,25.4,232930
2025-01-08,25.25,168899
2025-01-09,25.05,238151
2025-01-10,25.25,184070
2025-01-13,24.6,324942
2025-01-14,24.9,82046
2025-01-15,25.4,164014
2025-01-16,25.45,123239
2025-01-17,25.3,70914
2025-01-20,25.5,91594
2025-01-21,25.25,56382
2025-01-22,25.8,204515
2025-02-03,25.4,140219
2025-02-04,25.3,123621
2025-02-05,25.85,183618
2025-02-06,26.4,283637
2025-02-07,26.35,159801
2025-02-10,26.55,167962
2025-02-11,26.25,147873
2025-02-12,26.0,217800
2025-02-13,26.5,201007
2025-02-14,26.9,314520
2025-02-17,27.45,365085
2025-02-18,27.15,147802
2025-02-19,27.2,173060
2025-02-20,27.2,109933
2025-02-21,27.2,108531
2025-02-24,27.4,96357
2025-02-25,27.2,195743
2025-02-26,27.1,121843
2025-02-27,27.2,158073
2025-03-03,27.1,98833
2025-03-04,26.95,210064
2025-03-05,27.15,108638
2025-03-06,27.05,90901
2025-03-07,26.6,164170
2025-03-10,26.3,73354
2025-03-11,26.0,218442
2025-03-12,26.15,65555
2025-03-13,26.0,136989
2025-03-14,26.5,132395
2025-03-17,26.8,88232
2025-03-18,26.8,103645
2025-03-19,26.75,156271
2025-03-20,26.9,143780
2025-03-21,26.8,173885
2025-03-24,26.75,153443
2025-03-25,27.0,189005
2025-03-26,27.25,317272
2025-03-27,26.95,167226
2025-03-28,26.45,150911
2025-03-31,24.9,648634
2025-04-01,24.65,442169
2025-04-02,24.9,292579
2025-04-07,22.45,58002
2025-04-08,20.25,512743
2025-04-09,18.25,810415
2025-04-10,20.05,731365
2025-04-11,19.5,572318
2025-04-14,19.75,422295
2025-04-15,20.9,510252
2025-04-16,20.6,285120
2025-04-17,20.9,150321
2025-04-18,20.65,183448
2025-04-21,19.85,256596
2025-04-22,19.55,150969
2025-04-23,20.4,149712
2025-04-24,20.25,137930
2025-04-25,21.0,450550
2025-04-28,21.1,360413
2025-04-29,21.65,201485
2025-04-30,21.3,226491
2025-05-02,21.9,165275
2025-05-05,21.3,297697
2025-05-06,21.65,147417
2025-05-07,21.4,87165
2025-05-08,21.75,112137
2025-05-09,21.9,215689
2025-05-12,22.4,255407
2025-05-13,22.1,298907
2025-05-14,22.55,232485
2025-05-15,22.4,133305
2025-05-16,22.05,183493
2025-05-19,21.8,127474
2025-05-20,22.15,164854
2025-05-21,22.25,166222
2025-05-22,22.0,143197
2025-05-23,22.4,167618
2025-05-26,22.1,89476
2025-05-27,21.85,85472
2025-05-28,21.45,135577
2025-05-29,21.3,132275
2025-06-02,20.6,135363
2025-06-03,20.3,97652
2025-06-04,20.7,102040
2025-06-05,20.55,146470
2025-06-06,20.45,126513
2025-06-09,20.15,176239
2025-06-10,20.5,140602
2025-06-11,21.6,570791
2025-06-12,21.2,252751
2025-06-13,20.6,194624
2025-06-16,20.65,76365
2025-06-17,20.45,88606
2025-06-18,20.55,104155
2025-06-19,20.25,117622
2025-06-20,19.9,181970
2025-06-23,19.5,135140
2025-06-24,20.2,146046
2025-06-25,20.2,66732
2025-06-26,20.6,142342
2025-06-27,20.65,98404
2025-06-30,20.4,110493
2025-07-01,22.4,465701
2025-07-02,24.1,9783130
2025-07-03,24.0,2148514
2025-07-04,23.65,844455
2025-07-07,22.15,2763066
2025-07-08,21.75,802941
2025-07-09,22.2,454150
2025-07-10,22.1,429549
2025-07-11,24.3,2713671
2025-07-14,23.2,8143962
2025-07-15,23.65,1153537
2025-07-16,23.45,929220
2025-07-17,23.45,639628
2025-07-18,23.0,640495
2025-07-21,23.35,385539
2025-07-22,22.95,726450
2025-07-23,23.75,616576
2025-07-24,23.7,390476
2025-07-25,24.4,1635990
2025-07-28,24.0,1889365
2025-07-29,24.25,1683333
2025-07-30,24.8,1070988
2025-07-31,24.2,1464122
2025-08-01,25.0,941960
2025-08-04,25.0,730593
2025-08-05,25.3,559220
2025-08-06,25.1,640466
2025-08-07,24.3,1155673
2025-08-08,24.4,552345
2025-08-11,23.25,1218789
2025-08-12,24.7,2260551
2025-08-13,23.5,1886425
2025-08-14,23.85,883843
2025-08-15,23.75,343724
2025-08-18,23.75,402571
2025-08-19,23.7,361669
2025-08-20,23.5,397912
2025-08-21,24.25,599113
2025-08-22,24.15,469952
2025-08-25,24.05,217471
2025-08-26,23.95,160629
2025-08-27,24.2,231979
2025-08-28,24.15,216242
2025-08-29,24.15,219746
2025-09-01,23.8,317941
2025-09-02,23.55,229135
2025-09-03,24.0,112505
2025-09-04,24.7,641338
2025-09-05,24.55,348311
2025-09-08,23.9,393134
2025-09-09,23.3,508030
2025-09-10,23.25,259831
2025-09-11,22.9,549233
2025-09-12,22.7,278002
2025-09-15,22.85,158249
2025-09-16,24.4,748953
2025-09-17,25.45,2136335
2025-09-18,25.25,654807
2025-09-19,26.1,825913
2025-09-22,25.75,611096
2025-09-23,25.45,484733
2025-09-24,25.95,221429
2025-09-25,25.55,368046
2025-09-26,25.7,314846
2025-09-30,25.3,219671
2025-10-01,24.8,257844
2025-10-02,24.8,208146
2025-10-03,24.75,172294
2025-10-07,24.2,278901
2025-10-08,24.75,233723
2025-10-09,23.9,348694
2025-10-13,23.4,262013
2025-10-14,23.3,562165
2025-10-15,23.7,496708
2025-10-16,23.75,169460
2025-10-17,23.85,174617
2025-10-20,23.3,223599
2025-10-21,23.7,157164
2025-10-22,23.85,79151
2025-10-23,23.4,87358
2025-10-27,24.2,377846
2025-10-28,24.35,316028
2025-10-29,24.0,354745
2025-10-30,23.9,285161
2025-10-31,24.55,481694
2025-11-03,23.7,343955
2025-11-04,23.2,288648
2025-11-05,23.35,259879
2025-11-06,23.8,243290
2025-11-07,23.0,324404
2025-11-10,22.85,194989
2025-11-11,21.6,885698
2025-11-12,22.0,181742
2025-11-13,22.3,210450
2025-11-14,21.9,162893
2025-11-17,21.85,233186
2025-11-18,21.25,183665
2025-11-19,21.15,107504
2025-11-20,21.9,199766
2025-11-21,21.1,104309
2025-11-24,21.0,115938
2025-11-25,21.2,80672
2025-11-26,21.65,74911
2025-11-27,21.7,56120
2025-11-28,21.8,103029
2025-12-01,21.75,33786
2025-12-02,21.85,164680
2025-12-03,21.95,134967
2025-12-04,22.25,83624
2025-12-05,22.05,122405
2025-12-08,22.8,444315
2025-12-09,22.4,159425
2025-12-10,22.55,121774
2025-12-11,22.2,220512
2025-12-12,22.4,116786
2025-12-15,22.7,118808
2025-12-16,22.45,127867
2025-12-17,22.55,90500
2025-12-18,22.55,52911
2025-12-19,22.55,106033
2025-12-22,22.6,75827
2025-12-23,22.5,316710
2025-12-24,22.6,52014
2025-12-26,22.7,48317
2025-12-29,22.55,118130
2025-12-30,22.35,95170
2025-12-31,21.95,217144
2026-01-02,24.1,2359401
2026-01-05,24.4,4879746
2026-01-06,24.1,863761
2026-01-07,24.2,821834
2026-01-08,23.4,699981
2026-01-09,23.5,474569
2026-01-12,24.15,864281
2026-01-13,24.2,520484
2026-01-14,25.45,2948567
2026-01-15,26.0,4048138
2026-01-16,24.9,1531438
2026-01-19,24.9,869286
2026-01-20,24.95,810252
2026-01-21,24.85,571343
2026-01-22,24.9,592123
2026-01-23,26.95,2962285
2026-01-26,27.85,8289502
2026-01-27,26.55,2596946
2026-01-28,26.3,1011861
2026-01-29,25.5,1047270
2026-01-30,24.45,859713
2026-02-02,24.2,440553
2026-02-03,25.4,609574
2026-02-04,25.75,477517
2026-02-05,25.55,353215
2026-02-06,24.8,396421
2026-02-09,25.15,356816
2026-02-10,24.65,350434
2026-02-11,25.0,422752
2026-02-23,25.35,692880
2026-02-24,25.65,567460
2026-02-25,25.35,435785
2026-02-26,25.75,464565
2026-03-02,25.25,368041
2026-03-03,24.5,448701
2026-03-04,23.05,518851
2026-03-05,23.7,369855
2026-03-06,23.65,146251
2026-03-09,22.3,588794
2026-03-10,22.55,253690
2026-03-11,23.0,184500
2026-03-12,22.4,342156
2026-03-13,22.2,293772
2026-03-16,22.1,269369
2026-03-17,22.65,256907
2026-03-18,22.7,304127
2026-03-19,22.85,492937
2026-03-20,22.65,264521
2026-03-23,22.0,238875
