date,close,Trading_Volume
2024-11-01,27.5,14362
2024-11-04,27.4,35141
2024-11-05,27.3,1102
2024-11-06,27.4,11806
2024-11-07,27.2,20857
2024-11-08,27.3,10094
2024-11-11,28.15,32860
2024-11-12,26.95,84649
2024-11-13,27.05,2034
2024-11-14,27.05,23061
2024-11-15,27.0,34140
2024-11-18,27.2,4011
2024-11-19,27.15,3085
2024-11-20,27.0,13182
2024-11-21,27.25,9000
2024-11-22,27.0,7021
2024-11-25,27.1,5233
2024-11-26,27.0,5168
2024-11-27,27.05,6156
2024-11-28,27.15,24373
2024-11-29,27.05,3228
2024-12-02,26.95,13511
2024-12-03,26.9,17016
2024-12-04,27.15,6483
2024-12-05,28.55,227510
2024-12-06,28.55,106606
2024-12-09,28.6,47539
2024-12-10,28.9,77285
2024-12-11,29.05,155684
2024-12-12,28.35,61338
2024-12-13,28.6,69061
2024-12-16,28.05,37504
2024-12-17,29.0,95168
2024-12-18,28.8,15020
2024-12-19,29.1,78988
2024-12-20,28.25,77098
2024-12-23,28.3,3067
2024-12-24,28.1,39392
2024-12-25,28.0,55969
2024-12-26,28.75,18781
2024-12-27,28.6,40409
2024-12-30,28.4,23157
2024-12-31,28.4,21001
2025-01-02,29.2,169124
2025-01-03,28.55,80031
2025-01-06,28.45,3353
2025-01-07,27.95,79241
2025-01-08,27.9,31010
2025-01-09,27.85,24047
2025-01-10,28.35,10006
2025-01-13,27.9,113208
2025-01-14,28.45,22203
2025-01-15,28.9,157060
2025-01-16,28.85,134099
2025-01-17,28.85,53375
2025-01-20,28.55,54157
2025-01-21,28.75,37000
2025-01-22,28.9,90007
2025-02-03,29.3,172511
2025-02-04,32.2,915269
2025-02-05,33.5,2597562
2025-02-06,33.3,581478
2025-02-07,36.6,2146330
2025-02-10,35.7,3418839
2025-02-11,33.9,2893435
2025-02-12,33.9,1041541
2025-02-13,33.45,1101577
2025-02-14,33.2,395365
2025-02-17,33.35,152119
2025-02-18,33.25,185273
2025-02-19,33.8,1119669
2025-02-20,33.4,511672
2025-02-21,33.65,181050
2025-02-24,33.4,134516
2025-02-25,33.1,108793
2025-02-26,33.85,343008
2025-02-27,34.0,162790
2025-03-03,33.55,160115
2025-03-04,33.65,519609
2025-03-05,33.7,75757
2025-03-06,33.7,317225
2025-03-07,33.4,103010
2025-03-10,34.0,268214
2025-03-11,33.75,213174
2025-03-12,33.45,110012
2025-03-13,34.0,240081
2025-03-14,34.95,311076
2025-03-17,35.6,286171
2025-03-18,35.4,229202
2025-03-19,35.85,261326
2025-03-20,37.4,1532487
2025-03-21,38.05,5873817
2025-03-24,38.05,3010872
2025-03-25,38.6,1379656
2025-03-26,38.5,1709884
2025-03-27,35.35,649134
2025-03-28,36.0,368585
2025-03-31,36.5,519031
2025-04-01,40.15,3884098
2025-04-02,37.9,3086608
2025-04-07,34.15,178144
2025-04-08,34.8,1379388
2025-04-09,34.4,1287939
2025-04-10,37.8,933177
2025-04-11,37.5,914476
2025-04-14,41.25,2117804
2025-04-15,45.0,5180354
2025-04-16,49.5,6893187
2025-04-17,44.55,7261108
2025-04-18,45.0,7349370
2025-04-21,41.15,4305950
2025-04-22,41.25,2420739
2025-04-23,45.35,4878899
2025-04-24,47.75,21825623
2025-04-25,52.5,19325878
2025-04-28,57.7,26504718
2025-04-29,59.8,33166266
2025-04-30,55.0,9972248
2025-05-02,54.1,10266421
2025-05-05,55.5,12949803
2025-05-06,61.0,19177061
2025-05-07,58.0,28631292
2025-05-08,57.8,10807091
2025-05-09,53.6,5849591
2025-05-12,52.8,3623097
2025-05-13,48.85,6678561
2025-05-14,48.5,3010771
2025-05-15,47.3,5171383
2025-05-16,45.5,2434076
2025-05-19,44.7,1670915
2025-05-20,48.85,7841123
2025-05-21,48.0,8497901
2025-05-22,46.8,1737293
2025-05-23,45.2,1873076
2025-05-26,43.25,1324161
2025-05-27,45.25,4757344
2025-05-28,43.4,3956105
2025-05-29,42.15,1594657
2025-06-02,41.55,1951987
2025-06-03,42.35,1282028
2025-06-04,41.75,1084918
2025-06-05,40.7,722848
2025-06-06,39.85,671817
2025-06-09,39.05,844337
2025-06-10,38.8,640432
2025-06-11,39.05,383381
2025-06-12,42.05,4751880
2025-06-13,41.9,2939291
2025-06-16,42.1,1273803
2025-06-17,42.5,2950352
2025-06-18,41.35,1035370
2025-06-19,39.9,509468
2025-06-20,39.15,389983
2025-06-23,38.05,473307
2025-06-24,38.75,348432
2025-06-25,39.0,449695
2025-06-26,38.85,360970
2025-06-27,40.2,2003255
2025-06-30,38.6,650012
2025-07-01,37.75,438287
2025-07-02,41.5,3267043
2025-07-03,43.15,11548179
2025-07-04,43.2,4117578
2025-07-07,46.85,7402885
2025-07-08,45.35,20126400
2025-07-09,44.8,3364432
2025-07-10,43.05,2225873
2025-07-11,41.85,1072338
2025-07-14,41.75,1312389
2025-07-15,40.9,1185530
2025-07-16,40.0,897702
2025-07-17,40.35,481717
2025-07-18,39.45,600760
2025-07-21,39.7,461786
2025-07-22,38.7,498413
2025-07-23,39.5,430501
2025-07-24,39.0,284738
2025-07-25,39.45,310064
2025-07-28,39.75,272489
2025-07-29,38.9,280720
2025-07-30,38.8,223004
2025-07-31,37.85,394597
2025-08-01,37.9,1005496
2025-08-04,38.55,621294
2025-08-05,38.85,199372
2025-08-06,38.4,222203
2025-08-07,38.0,218247
2025-08-08,37.65,211064
2025-08-11,40.3,1228594
2025-08-12,43.0,2918947
2025-08-13,41.8,1327296
2025-08-14,40.75,574755
2025-08-15,40.0,423512
2025-08-18,38.95,394875
2025-08-19,38.65,682098
2025-08-20,39.45,1597842
2025-08-21,39.1,1174101
2025-08-22,38.65,814822
2025-08-25,39.0,227164
2025-08-26,38.65,325733
2025-08-27,37.95,507283
2025-08-28,37.7,318499
2025-08-29,38.05,365595
2025-09-01,37.3,369539
2025-09-02,37.0,253056
2025-09-03,38.15,278207
2025-09-04,37.9,195208
2025-09-05,37.75,102781
2025-09-08,38.1,263096
2025-09-09,37.95,108842
2025-09-10,38.3,928882
2025-09-11,37.25,291240
2025-09-12,36.9,150426
2025-09-15,37.3,244493
2025-09-16,37.4,73878
2025-09-17,38.0,105620
2025-09-18,38.95,527119
2025-09-19,42.15,1353237
2025-09-22,40.5,706785
2025-09-23,40.95,630234
2025-09-24,43.05,1559489
2025-09-25,43.5,1615577
2025-09-26,43.5,1764334
2025-09-30,44.85,1018880
2025-10-01,48.7,4437521
2025-10-02,53.5,6821394
2025-10-03,49.0,3628736
2025-10-07,46.75,1436399
2025-10-08,46.45,667019
2025-10-09,47.2,940142
2025-10-13,47.2,778029
2025-10-14,45.95,598009
2025-10-15,45.7,799269
2025-10-16,44.7,591129
2025-10-17,44.6,309672
2025-10-20,45.15,353559
2025-10-21,44.2,429531
2025-10-22,42.6,585934
2025-10-23,44.0,963720
2025-10-27,46.8,1058725
2025-10-28,45.15,1305008
2025-10-29,44.5,486397
2025-10-30,44.05,507311
2025-10-31,44.05,400459
2025-11-03,43.05,395828
2025-11-04,46.55,3657814
2025-11-05,45.5,2606278
2025-11-06,43.25,1299881
2025-11-07,42.1,925292
2025-11-10,43.7,605270
2025-11-11,42.5,305943
2025-11-12,42.5,220652
2025-11-13,41.35,366465
2025-11-14,41.35,184994
2025-11-17,40.7,234667
2025-11-18,39.55,423998
2025-11-19,39.35,326327
2025-11-20,40.3,402495
2025-11-21,38.6,879183
2025-11-24,40.15,323609
2025-11-25,41.8,357263
2025-11-26,41.55,240968
2025-11-27,43.2,518539
2025-11-28,45.0,547871
2025-12-01,45.05,391918
2025-12-02,44.85,225210
2025-12-03,44.3,341059
2025-12-04,44.95,238380
2025-12-05,46.0,353947
2025-12-08,45.9,508048
2025-12-09,46.85,257497
2025-12-10,47.0,285710
2025-12-11,47.5,356374
2025-12-12,47.85,255192
2025-12-15,48.4,445773
2025-12-16,48.15,417508
2025-12-17,47.95,499273
2025-12-18,48.05,247134
2025-12-19,48.9,551445
2025-12-22,48.05,599668
2025-12-23,46.0,636207
2025-12-24,46.15,307872
2025-12-26,46.85,289284
2025-12-29,45.5,310333
2025-12-30,45.25,155545
2025-12-31,45.35,146829
2026-01-02,45.05,176087
2026-01-05,43.8,393878
2026-01-06,44.35,179056
2026-01-07,43.6,178563
2026-01-08,43.75,89459
2026-01-09,44.5,113602
2026-01-12,45.65,201004
2026-01-13,45.6,128868
2026-01-14,45.55,55147
2026-01-15,45.25,121525
2026-01-16,43.8,145415
2026-01-19,44.25,238177
2026-01-20,43.5,96875
2026-01-21,43.3,74838
2026-01-22,43.1,333415
2026-01-23,44.3,186827
2026-01-26,45.4,209297
2026-01-27,45.25,139810
2026-01-28,44.9,102824
2026-01-29,44.9,88590
2026-01-30,41.95,366374
2026-02-02,41.6,74980
2026-02-03,42.4,42098
2026-02-04,42.05,23221
2026-02-05,40.95,74418
2026-02-06,40.3,87989
2026-02-09,40.0,39403
2026-02-10,41.4,60620
2026-02-11,41.15,91014
2026-02-23,40.65,62638
2026-02-24,40.05,81219
2026-02-25,40.0,154714
2026-02-26,39.8,226388
2026-03-02,42.0,339971
2026-03-03,39.45,429361
2026-03-04,39.85,160858
2026-03-05,39.7,201145
